0, 2020
1, 5561
2, 493
3, 3677
4, 8785
5, 3704
6, 6754
7, 9711
8, 6321
9, 4478
10, 8574
11, 8457
12, 7251
13, 7906
14, 3111
15, 9109
16, 9353
17, 8789
18, 4515
19, 3567
20, 1493
21, 6287
22, 2588
23, 639
24, 8261
25, 7540
26, 3957
27, 5513
28, 768
29, 1893
30, 7331
31, 4112
32, 9420
33, 4861
34, 8673
35, 1010
36, 5927
37, 9654
38, 7273
39, 7363
40, 593
41, 3938
42, 9166
43, 8401
44, 5904
45, 2489
46, 8086
47, 9585
48, 5792
49, 9802
50, 7259
51, 9528
52, 6744
53, 2680
54, 9285
55, 5009
56, 8659
57, 3175
58, 2071
59, 8396
60, 7392
61, 3971
62, 3348
63, 4624
64, 3151
65, 7212
66, 7504
67, 6665
68, 4175
69, 4681
70, 2199
71, 4327
72, 5478
73, 1177
74, 2260
75, 4186
76, 9413
77, 940
78, 6745
79, 381
80, 983
81, 7958
82, 3647
83, 7706
84, 2589
85, 8347
86, 9966
87, 482
88, 8952
89, 37
90, 1286
91, 1844
92, 9905
93, 623
94, 5017
95, 274
96, 6808
97, 5649
98, 8328
99, 3612
100, 8115
101, 2956
102, 5202
103, 5260
104, 2009
105, 829
106, 1752
107, 1259
108, 3875
109, 3898
110, 1056
111, 243
112, 8028
113, 2829
114, 6972
115, 8879
116, 7752
117, 6912
118, 6721
119, 5522
120, 91
121, 7231
122, 3851
123, 9039
124, 164
125, 9523
126, 8232
127, 4162
128, 4547
129, 48
130, 6018
131, 585
132, 2316
133, 5533
134, 4823
135, 5972
136, 6269
137, 3942
138, 9977
139, 5214
140, 7693
141, 2455
142, 6196
143, 1650
144, 5596
145, 84
146, 3310
147, 1923
148, 8410
149, 5227
150, 7827
151, 4606
152, 4505
153, 6543
154, 4457
155, 6818
156, 2673
157, 5364
158, 3081
159, 8030
160, 8238
161, 375
162, 4770
163, 7735
164, 5967
165, 7757
166, 5424
167, 5239
168, 253
169, 5052
170, 9872
171, 6441
172, 8794
173, 3027
174, 2085
175, 6231
176, 1241
177, 5229
178, 3229
179, 8016
180, 396
181, 6526
182, 3512
183, 7854
184, 2575
185, 505
186, 6110
187, 9231
188, 9071
189, 6652
190, 4041
191, 2530
192, 3890
193, 9441
194, 6617
195, 4450
196, 2897
197, 745
198, 4735
199, 8144
200, 6334
201, 4612
202, 718
203, 6766
204, 2137
205, 6767
206, 9845
207, 8472
208, 2787
209, 3460
210, 7318
211, 3978
212, 7269
213, 6552
214, 3780
215, 2149
216, 9200
217, 284
218, 3832
219, 2685
220, 7797
221, 3527
222, 3390
223, 8136
224, 4712
225, 979
226, 7147
227, 6834
228, 5917
229, 2623
230, 230
231, 7894
232, 678
233, 8663
234, 3986
235, 8891
236, 178
237, 7358
238, 2081
239, 5420
240, 4428
241, 3440
242, 3263
243, 9906
244, 8331
245, 6722
246, 3223
247, 1796
248, 173
249, 8846
250, 3563
251, 682
252, 9474
253, 799
254, 673
255, 144
256, 5468
257, 4153
258, 5224
259, 4717
260, 9498
261, 5665
262, 1565
263, 871
264, 5264
265, 2820
266, 7649
267, 3541
268, 1225
269, 1985
270, 5970
271, 860
272, 532
273, 4079
274, 5231
275, 8638
276, 1419
277, 6294
278, 6509
